Unnamed: 0.1,Unnamed: 0,family,genus,species,common_name,wagner_pg_number,description,infraspecific_epithet,stem_hair_type,phyllotaxy_type,leaf_hair_description,leaf_hair_upper_description,leaf_hair_lower_description,breeding_type,inflorescence_type,ray_color,floret_color,spathe_color,perianth_outer_color,perianth_inner_color,perianth_color,labellum_color,corolla_type,staminate_corolla_type,pistillate_corolla_type,corolla_color,fruit_type,ploidy,chromosome_number,average_chromosome_number,origin,status,life_form_type,leaf_type,leaf_margin_type,leaf_shape_type,juvenile_leaf_type,juvenile_leaf_margin_type,juvenile_leaf_shape_type,leaflets_leaf_type,leaflets_leaf_margin_type,leaflets_leaf_shape_type,leaf_hair_type,leaf_hair_upper_type,leaf_hair_lower_type,juvenile_leaf_hair_type,island_type,hawaiian_name,stem_height,leaf_length,leaf_width,juvenile_leaf_length,juvenile_leaf_width,leaflets_leaf_length,leaflets_leaf_width,petioles,staminate_inflorescence_length,staminate_inflorescence_width,pistillate_inflorescence_length,pistillate_inflorescence_width,inflorescence_flower_length,inflorescence_flower_width,flower_length,flower_width,rachis_length,rachis_diameter,head_length,head_diameter,bur_length,tepal_length,staminate_tepal_length,pistillate_tepal_length,ray_length,ray_width,florets_length,involucre_length,involucre_width,staminate_involucre_length,pistilate_involucre_length,bract_length,bract_width,bract_lower_length,bract_outer_length,bracteoles_length,bracteoles_width,pedicel_length,pedicel_width,staminate_pedicel_width,pistillate_pedicel_width,pistillate_pedicel_length,hypanthium_length,hypanthium_width,peduncle_length,peduncle_width,staminate_peduncle_length,staminate_peduncle_width,pistillate_peduncle_length,pistillate_peduncle_width,spathe_length,spathe_width,spadix_length,perianth_length,perianth_width,perianth_outer_length,perianth_outer_width,perianth_inner_length,perianth_inner_width,perianth_tube_length,perianth_lobes_length,perianth_lobes_width,staminate_perianth_tube_length,pistillate_perianth_tube_length,pappus_length,umbellet_length,labellum_length,labellum_width,calyx_length,calyx_width,calyx_teeth_length,calyx_teeth_width,calyx_lobes_length,calyx_lobes_width,upper_calyx_length,lower_calyx_length,inner_calyx_lobes_length,inner_calyx_lobes_width,outer_calyx_lobes_length,outer_calyx_lobes_width,calyx_tube_length,calyx_tube_width,male_calyx_length,male_calyx_width,male_calyx_lobes_length,male_calyx_lobes_width,female_calyx_length,female_calyx_width,female_calyx_lobes_length,female_calyx_lobes_width,male_calyx_lobes_length_inner,male_calyx_lobes_length_outer,male_calyx_lobes_width_outer,male_calyx_tube_length,female_calyx_lobes_length_inner,female_calyx_lobes_length_outer,female_calyx_lobes_width_inner,female_calyx_lobes_width_outer,inner_calyx_length,outer_calyx_length,corolla_length,corolla_width,corolla_tube_length,corolla_tube_width,corolla_lobes_length,corolla_lobes_width,upper_corolla,lower_corolla,upper_corolla_lobes_length,lower_corolla_lobes_length,corolla_lip,staminate_corolla_length,pistillate_corolla_length,staminate_corolla_tube_length,staminate_corolla_tube_width,pistillate_corolla_tube_length,pistillate_corolla_tube_width,female_corolla_lobes_length,female_corolla_lobes_width,male_corrola_lobes_length,male_corrola_lobes_width,fruit_length,fruit_width,fruit_diameter,seeds_perfruit,seed_length,seed_width,seed_diameter,species_id
10,10,Amaranthaceae,Charpentiera,tomentosa,,pg 192,['DICOTS'],maakuaensis,['TOMENTOSE'],['ALTERNATE'],,,,['GYNODIOECIOUS'],['PANICLE'],,,,,,,,['ABSENT'],,,,['NAN'],,,,['ENDEMIC'],['NAN'],"['TREE', 'SHRUB/TREE']",['SIMPLE'],['NOTEETH'],"['ELLIPTIC', 'OBOVATE']",[],[],[],[],[],[],"['GLABROUS', 'PILOSE']",[],[],[],"['HAWAII', 'MAUI', 'MOLOKAI', 'LANAI', 'OAHU']",set(),"{'exmin': nan, 'min': 6.0, 'max': 12.0, 'exmax': nan, 'unit': 'm'}","{'exmin': 8.5, 'min': 15.0, 'max': 30.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 2.6, 'max': 12.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 1.0, 'max': 11.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 130.0, 'max': 500.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 20.0, 'max': 100.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}","{'exmin': nan, 'min': nan, 'max': 0.15, 'unit': 'cm'}",,,Amaranthaceae_Charpentiera_tomentosa
11,11,Apiaceae,Daucus,pusillus,American carrot,pg 203-204,['DICOTS'],,['PUBERULENT'],['ALTERNATE'],pubescent,,,['MONOECIOUS'],['UMBEL'],,,,,,,,['OBCORDATE'],,,"White, occasionally center or all flowers purplish and yellowish",['MERICARP'],2n,22,22.0,['NATURALIZED'],['NAN'],['ANNUAL HERB'],['SIMPLE'],[],['OBLONG'],[],[],[],[],[],[],['HISPID'],[],[],[],"['HAWAII', 'MOLOKAI', 'LANAI', 'OAHU', 'KAUAI']",set(),"{'exmin': nan, 'min': 0.03, 'max': 0.9, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 3.0, 'max': 10.5, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 1.5, 'max': 7.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 4.0, 'max': 15.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 4.0, 'max': 40.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,"{'exmin': nan, 'min': 2.0, 'max': 9.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,"{'exmin': nan, 'min': 110.0, 'max': 450.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 0.1, 'max': 0.2, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': 3.0, 'max': 5.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': 2.0, 'unit': 'mm'}",,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Apiaceae_Daucus_pusillus
12,12,Apiaceae,Sanicula,mariversa,no common name,"pg 208,209-210",['DICOTS'],,['GLABROUS (SMOOTH)'],['EQUITANT'],glabrous,,,"['POLYGAMOUS', 'DIOECIOUS']",['UMBEL'],,,,,,,,['OVATE'],,,Yellow,['NAN'],,,,['ENDEMIC'],['NAN'],['PERRENIAL HERB'],['SIMPLE'],['TEETH'],"['GLADIATE', 'CORDATE', 'RENIFORM']",[],[],[],[],[],[],[],[],[],[],['OAHU'],set(),"{'exmin': nan, 'min': 0.4, 'max': 0.07, 'exmax': nan, 'unit': 'm'}",,"{'exmin': nan, 'min': 13.0, 'max': 23.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 10.0, 'max': 30.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 1.0, 'max': 3.0, 'exmax': nan, 'unit': 'mm'}",,,,,,"{'exmin': nan, 'min': 3.0, 'max': 5.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,"{'exmin': nan, 'min': 5.0, 'max': 25.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': 1.0, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': 4.0, 'max': 6.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 3.0, 'max': nan, 'exmax': 4.0, 'unit': 'mm'}",,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Apiaceae_Sanicula_mariversa
13,13,Apocynaceae,Ochrosia,kauaiensis,holei,"pg 216,218",['DICOTS'],,['GLABROUS (SMOOTH)'],['NAN'],glabrous,,,['MONOECIOUS'],['CYME'],,,,,,,,['SALVERFORM'],,,Greenish white to white,['DRUPE'],,,,['ENDEMIC'],['RARE'],"['TREE', 'SHRUB/TREE']",['SIMPLE'],['NOTEETH'],"['ELLIPTIC', 'OBLANCEOLATE']",[],[],[],[],[],[],['GLABROUS'],[],[],[],['KAUAI'],set(),"{'exmin': nan, 'min': 6.0, 'max': 8.0, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 7.0, 'max': 18.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': 2.0, 'min': 4.0, 'max': 7.1, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 1.2, 'max': 3.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 0.0, 'max': 1.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,"{'exmin': nan, 'min': 2.0, 'max': 15.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': 4.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 11.0, 'max': 12.0, 'exmax': nan, 'unit': 'mm'}",,"{'exmin': nan, 'min': 7.0, 'max': 8.0, 'exmax': nan, 'unit': 'mm'}",,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': 36.0, 'max': 57.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': 15.0, 'min': 26.0, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Apocynaceae_Ochrosia_kauaiensis
14,14,Araliaceae,Cheirodendron,forbesii,"olapa, lapalapa","pg 225,227",['DICOTS'],,['GLABROUS (SMOOTH)'],['OPPOSITE'],glabrous,,,['ANDROMONOECIOUS'],['UMBEL'],,,,,,,,"['TRIANGULAR', 'OVATE', 'OBLONG']",,,"Purple externally, greenish within",['DRUPE'],,,,['ENDEMIC'],['SECURE'],"['TREE', 'SHRUB/TREE']",['COMPOUND'],[],[],[],[],[],['SIMPLE'],['NOTEETH'],"['E', 'OVA']",['GLABROUS'],[],[],[],['KAUAI'],"{'`Olapa', 'lapalapa'}","{'exmin': nan, 'min': 3.0, 'max': 4.5, 'exmax': nan, 'unit': 'm'}",,,,,"{'exmin': nan, 'min': 5.0, 'max': 12.0, 'exmax': nan, 'unit': 'cm'}",,"{'exmin': nan, 'min': 3.0, 'max': 7.0, 'exmax': 10.0, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': nan, 'max': 100.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 3.0, 'max': 6.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': 4.0, 'max': 5.0, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Araliaceae_Cheirodendron_forbesii
15,15,Arecaceae,Pritchardia,napaliensis,loulu,"pg 1364-1367, 1373",['MONOCOTS'],,['NAN'],['NAN'],,,fimbriate lepidia soon glabrate,['MONOECIOUS'],['PANICLE'],,,,,,,,['NAN'],,,,['NAN'],,,,['ENDEMIC'],['ENDEMIC'],['TREE'],[],[],[],[],[],[],[],[],[],[],[],['G'],[],['KAUAI'],{'Loulu'},"{'exmin': nan, 'min': nan, 'max': 10.0, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': nan, 'max': 85.0, 'exmax': nan, 'unit': 'cm'}",,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': 3.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': 17.0, 'max': 23.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 14.0, 'max': nan, 'exmax': 18.0, 'unit': 'mm'}",,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Arecaceae_Pritchardia_napaliensis
16,16,Asteraceae,Ageratum,houstonianum,"maile hohono, maile honohono, maile kula",pg 255-256,['DICOTS'],,['PILOSE'],['OPPOSITE'],,,conspicuous glands,['MONOECIOUS'],['CORYMB'],,,,,,,,['DISK'],,,Bluish lavender,['NAN'],2n,"20, 40",30.0,['PREDOMINANT CULTIVAR'],['NATURALIZED'],['ANNUAL HERB'],['SIMPLE'],[],[],[],[],[],[],[],[],[],[],[],[],"['HAWAII', 'MAUI', 'OAHU', 'KAUAI']","{'Maile hohono', 'Maile honohono', 'Maile kula'}","{'exmin': nan, 'min': 0.3, 'max': 1.5, 'exmax': nan, 'unit': 'm'}",,,,,,,"{'exmin': nan, 'min': 1.0, 'max': 5.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 3.0, 'max': 4.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Asteraceae_Ageratum_houstonianum
17,17,Asteraceae,Dubautia,knudsenii,na`ena`e,"pg 292-295,298-299",['DICOTS'],,['GLABROUS (SMOOTH)'],['OPPOSITE'],,"glabrous, glabrate appressed puberulent",glabrous to uniformly ascending puberulent,['MONOECIOUS'],"['ELONGATE', 'PANICLE']",,,,,,,,['TRIANGULAR'],,,Yellow with red veins,['ACHENE'],2n,28*,28.0,['ENDEMIC'],['ENDEMIC'],"['SHRUB', 'TREE']",['SIMPLE'],['TEETH'],"['ELLIPTIC', 'OBLANCEOLATE']",[],[],[],[],[],[],[],"['G', 'PU']","['G', 'PU']",[],['KAUAI'],"{'Kupaoa', 'Na`ena`e'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': 6.0, 'unit': 'm'}","{'exmin': nan, 'min': 5.0, 'max': 22.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 1.0, 'max': 5.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 0.8, 'max': 4.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 30.0, 'max': 150.0, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': nan, 'min': 25.0, 'max': 200.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 4.0, 'max': 7.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,"{'exmin': nan, 'min': 1.0, 'max': 45.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,"{'min': 2.5, 'max': 4.0, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 2.5, 'max': 3.5, 'exmax': nan, 'unit': 'mm'}",,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': 2.5, 'max': 4.0, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Asteraceae_Dubautia_knudsenii
18,18,Asteraceae,Helichrysum,foetidum,stinking everlasting,pg 322-323,['DICOTS'],,['PUBERULENT'],['ALTERNATE'],,sparsely pubescent,white wooly pubescent,['MONOECIOUS'],"['SOLITARY', 'CLUSTERS']",,,,,,,,['NAN'],,,Yellow,['NAN'],2n,"14, 28",21.0,['PREDOMINANT CULTIVAR'],['NATURALIZED'],['BIENNIAL HERB'],['SIMPLE'],[],"['LANCEOLATE', 'OBLONG']",[],[],[],[],[],[],[],['PU'],['PU'],[],['HAWAII'],set(),"{'exmin': nan, 'min': 0.2, 'max': 1.0, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 3.0, 'max': 7.0, 'exmax': nan, 'unit': 'cm'}",,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,"{'exmin': nan, 'min': 15.0, 'max': 20.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Asteraceae_Helichrysum_foetidum
19,19,Asteraceae,Parthenium,hysterophorus,"false ragweed, Santa Maria",pg 347,['DICOTS'],,['HIRSUTE'],['ALTERNATE'],,,,['MONOECIOUS'],['PANICLE'],White,,,,,,,['DISK'],,,Cream,['ACHENE'],2n,"18, 34-36",29.3333333,['PREDOMINANT CULTIVAR'],['NATURALIZED'],['ANNUAL HERB'],['SIMPLE'],[],[],[],[],[],[],[],[],[],[],[],[],"['HAWAII', 'MAUI', 'MOLOKAI', 'OAHU', 'KAUAI']",set(),"{'exmin': nan, 'min': 0.3, 'max': 1.0, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 3.0, 'max': 20.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 2.0, 'max': 10.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': 0.6, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': 1.0, 'exmax': nan, 'unit': 'mm'}",,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': 2.0, 'max': 2.5, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Asteraceae_Parthenium_hysterophorus
20,20,Asteraceae,Tetramolopium,humile,no common name,"pg 361-362, 365-367",['DICOTS'],humile,"['PILOSE', 'HISPID']",['ALTERNATE'],strongly hispid or hispid-hirsute,,,['GYNOMONECIOUS'],"['SOLITARY', 'PANICLE']",White or tinged lavender,,,,,,,['TUBULAR'],,,Pink to purple rarely yellow,['NAN'],2n,18*,18.0,['ENDEMIC'],['ENDEMIC'],['SHRUB'],['SIMPLE'],['NOTEETH'],"['OBLANCEOLATE', 'SPATULATE']",[],[],[],[],[],[],"['HIRSUTE', 'HISPID']",[],[],[],"['HAWAII', 'MAUI']",set(),"{'exmin': nan, 'min': 0.08, 'max': 0.2, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 1.0, 'max': 2.5, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 0.08, 'max': 0.3, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 2.9, 'max': 3.3, 'exmax': nan, 'unit': 'mm'}","{'exmin': 0.7, 'min': 0.9, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,"{'exmin': nan, 'min': 7.0, 'max': 9.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 5.0, 'max': 7.0, 'unit': 'mm'}",,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 20.0, 'max': 35.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,"{'min': 5.5, 'max': 7.0, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 6.5, 'max': 7.5, 'exmax': nan, 'unit': 'mm'}",,"{'exmin': nan, 'min': 3.0, 'max': 4.0, 'exmax': nan, 'unit': 'mm'}",,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': 3.3, 'max': 4.0, 'exmax': 4.5, 'unit': 'mm'}","{'exmin': nan, 'min': 0.7, 'max': nan, 'exmax': 0.8, 'unit': 'mm'}",,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Asteraceae_Tetramolopium_humile
21,21,Bataceae,Batis,maritima,pickleweed,pg 381-382,['DICOTS'],,['NAN'],['OPPOSITE'],,,,"['MONOECIOUS', 'DIOECIOUS']","['SOLITARY', 'AXILLARY', 'SPIKE']",,,,,,,,['NAN'],,,,['NAN'],2n,"18, 22",20.0,['PREDOMINANT CULTIVAR'],['NATURALIZED'],['SHRUB'],[],[],[],[],[],[],[],[],[],[],[],[],[],"['HAWAII', 'MAUI', 'KAHOOLAWE', 'MOLOKAI', 'LANAI', 'OAHU', 'KAUAI', 'NIIHAU', 'ALL ISLANDS']",{'Akulikuli kai'},"{'exmin': nan, 'min': 1.0, 'max': 1.5, 'exmax': nan, 'unit': 'm'}",,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Bataceae_Batis_maritima
22,22,Begoniaceae,Hillebrandia,sandwicensis,pu`a maka nui,pg 384-386,['DICOTS'],,"['GLABROUS (SMOOTH)', 'PUBERULENT']",['OPPOSITE'],"hispidulous with short, white, papillose hairs especiallly along veins on lower surface",,,['MONOECIOUS'],['NAN'],,,,,,,,['NAN'],,,,['CAPSULE'],2n,48*,48.0,['ENDEMIC'],['ENDEMIC'],['PERRENIAL HERB'],['SIMPLE'],['TEETH'],['ORBICULAR'],[],[],[],[],[],[],['HISPID'],[],[],[],"['MAUI', 'MOLOKAI', 'OAHU', 'KAUAI']",set(),"{'exmin': nan, 'min': 0.5, 'max': 1.5, 'exmax': nan, 'unit': 'm'}",,"{'exmin': nan, 'min': 10.0, 'max': 25.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 10.0, 'max': 22.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 8.0, 'max': 15.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,"{'exmin': nan, 'min': 100.0, 'max': 300.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': '6', 'max': 15.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 1.0, 'max': 1.5, 'exmax': nan, 'unit': 'mm'}",,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,,,"{'exmin': nan, 'min': 0.8, 'max': nan, 'exmax': 1.3, 'unit': 'mm'}","{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}","{'exmin': nan, 'min': nan, 'max': 0.05, 'unit': 'cm'}",,,Begoniaceae_Hillebrandia_sandwicensis
