,family,genus,species,common_name,wagner_pg_number,description,infraspecific_epithet,stem_hair_type,phyllotaxy_type,breeding_type,inflorescence_type,ray_color,floret_color,spathe_color,perianth_outer_color,perianth_inner_color,perianth_color,labellum_color,corolla_type,staminate_corolla_type,pistillate_corolla_type,corolla_color,fruit_type,ploidy,chromosome_number,average_chromosome_number,origin,status,life_form_type,leaf_type,leaf_margin_type,leaf_shape_type,juvenile_leaf_type,juvenile_leaf_margin_type,juvenile_leaf_shape_type,leaflets_leaf_type,leaflets_leaf_margin_type,leaflets_leaf_shape_type,leaf_hair_type,leaf_hair_upper_type,leaf_hair_lower_type,juvenile_leaf_hair_type,island_type,hawaiian_name,stem_height,leaf_length,leaf_width,juvenile_leaf_length,juvenile_leaf_width,leaflets_leaf_length,leaflets_leaf_width,petioles,staminate_inflorescence_length,staminate_inflorescence_width,pistillate_inflorescence_length,pistillate_inflorescence_width,inflorescence_flower_length,inflorescence_flower_width,flower_length,flower_width,rachis_length,rachis_diameter,head_length,head_diameter,bur_length,tepal_length,staminate_tepal_length,pistillate_tepal_length,ray_length,ray_width,florets_length,involucre_length,involucre_width,staminate_involucre_length,pistilate_involucre_length,bract_length,bract_width,bract_lower_length,bract_outer_length,bracteoles_length,bracteoles_width,pedicel_length,pedicel_width,pistillate_pedicel_length,hypanthium_length,hypanthium_width,peduncle_length,peduncle_width,spathe_length,spathe_width,spadix_length,perianth_length,perianth_width,perianth_outer_length,perianth_outer_width,perianth_inner_length,perianth_inner_width,perianth_tube_length,perianth_lobes_length,perianth_lobes_width,staminate_perianth_tube_length,pistillate_perianth_tube_length,pappus_length,umbellet_length,labellum_length,labellum_width,calyx_length,calyx_width,calyx_teeth_length,calyx_teeth_width,calyx_lobes_length,calyx_lobes_width,upper_calyx_length,lower_calyx_length,inner_calyx_lobes_length,inner_calyx_lobes_width,outer_calyx_lobes_length,outer_calyx_lobes_width,calyx_tube_length,calyx_tube_width,male_calyx_length,male_calyx_width,male_calyx_lobes_length,male_calyx_lobes_width,female_calyx_length,female_calyx_width,female_calyx_lobes_length,female_calyx_lobes_width,male_calyx_lobes_length_inner,male_calyx_lobes_length_outer,male_calyx_lobes_width_outer,male_calyx_tube_length,female_calyx_lobes_length_inner,female_calyx_lobes_length_outer,female_calyx_lobes_width_inner,female_calyx_lobes_width_outer,inner_calyx_length,outer_calyx_length,corolla_length,corolla_width,corolla_tube_length,corolla_tube_width,corolla_lobes_length,corolla_lobes_width,upper_corolla_length,lower_corolla_length,upper_corolla_lobes_length,lower_corolla_lobes_length,corolla_lip_length,staminate_corolla_length,pistillate_corolla_length,staminate_corolla_tube_length,staminate_corolla_tube_width,pistillate_corolla_tube_length,pistillate_corolla_tube_width,female_corolla_lobes_length,female_corolla_lobes_width,male_corolla_lobes_length,male_corolla_lobes_width,fruit_length,fruit_width,fruit_diameter,seeds_perfruit,seed_length,seed_width,seed_diameter,pistillate_peduncle_length,pistillate_peduncle_width,staminate_pedicel_length,staminate_peduncle_length,staminate_peduncle_width,species_key
371,Asteraceae,Lipochaeta,degeneri,nehe,pg 331-334,Dicots,,STRIGOSE,OPPOSITE,MONOECIOUS,,Yellow,,,,,,,,,,Yellow,ACHENE,,,,ENDEMIC,ENDEMIC,['PERENNIAL_HERB'],['SIMPLE'],['NO TEETH'],,,,,,,,['STRIGOSE'],,,,['MOLOKAI'],,"{'exmin': nan, 'min': 0.2, 'max': 0.3, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 1.7, 'max': 2.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 0.3, 'max': 0.4, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 3.6, 'max': 4.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 2.0, 'max': 2.4, 'exmax': nan, 'unit': 'mm'}",,,,,,"{'exmin': nan, 'min': 3.0, 'max': 3.8, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 1.3, 'max': 2.1, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': None, 'min': nan, 'max': '0.2', 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': 2.7, 'max': 3.3, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 2.3, 'max': 2.4, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 1.1, 'max': nan, 'exmax': 1.5, 'unit': 'mm'}",,,,,,,,,,,asteraceae_lipochaeta_degeneri
372,Asteraceae,Lipochaeta,heterophylla,nehe,"pg 331-333,335,336",Dicots,,,OPPOSITE,MONOECIOUS,,Yellow,,,,,,,,,,Yellow,ACHENE,2n,52*,52,ENDEMIC,ENDEMIC,['PERENNIAL_HERB'],['SIMPLE'],['TEETH'],['ELLIPTIC'],,,,,,,,,['STRIGOSE'],,"['MAUI', 'MOLOKAI', 'LANAI']",,"{'exmin': nan, 'min': 0.5, 'max': 1.0, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 4.5, 'max': 6.5, 'exmax': 9.5, 'unit': 'cm'}","{'exmin': nan, 'min': 2.0, 'max': 3.5, 'exmax': 4.5, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 8.0, 'max': 15.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 2.0, 'max': 3.5, 'exmax': 5.0, 'unit': 'mm'}",,,,,,"{'exmin': nan, 'min': 4.0, 'max': 6.5, 'exmax': 10.0, 'unit': 'mm'}","{'exmin': nan, 'min': 2.5, 'max': 4.0, 'exmax': 4.5, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': 3.4, 'min': 3.6, 'max': 4.2, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,"{'exmin': 2.2, 'min': 2.6, 'max': 3.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 1.3, 'max': nan, 'exmax': 1.7, 'unit': 'mm'}",,,,,,,,,,,asteraceae_lipochaeta_heterophylla
373,Asteraceae,Lipochaeta,lobata,nehe,"pg 331-333,337-338",Dicots,,STRIGOSE,OPPOSITE,MONOECIOUS,,Yellow,,,,,,,,,,Yellow,ACHENE,2n,52*,52,ENDEMIC,,['PERENNIAL_HERB'],['SIMPLE'],['TEETH'],"['LANCEOLATE', 'LINEAR']",,,,,,,,['STRIGOSE'],['STRIGOSE'],,"['MAUI', 'OAHU', 'NIIHAU']",,"{'exmin': nan, 'min': 0.5, 'max': 1.5, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 4.0, 'max': 9.7, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 1.0, 'max': 5.6, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 0.2, 'max': 0.5, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,"{'exmin': 6.0, 'min': 7.5, 'max': 14.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 2.1, 'max': 4.5, 'exmax': nan, 'unit': 'mm'}",,,,,,"{'exmin': nan, 'min': 4.7, 'max': 8.2, 'exmax': 12.0, 'unit': 'mm'}","{'exmin': nan, 'min': 1.7, 'max': 4.7, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': 3.6, 'max': 4.4, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 2.5, 'max': 3.2, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 1.1, 'max': nan, 'exmax': 1.5, 'unit': 'mm'}",,,,,,,,,,,asteraceae_lipochaeta_lobata
374,Asteraceae,Lipochaeta,lobata,nehe,"pg 331-333,337-338",Dicots,leptophylla,STRIGOSE,OPPOSITE,MONOECIOUS,,Yellow,,,,,,,,,,Yellow,,2n,52*,52,ENDEMIC,,['PERENNIAL_HERB'],['SIMPLE'],['TEETH'],"['LANCEOLATE', 'LINEAR']",,,,,,,,['STRIGOSE'],['STRIGOSE'],,['OAHU'],,"{'exmin': nan, 'min': 0.5, 'max': 1.5, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 4.0, 'max': 9.7, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 1.0, 'max': 5.6, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 0.2, 'max': 0.5, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,"{'exmin': 6.0, 'min': 7.5, 'max': 14.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 2.1, 'max': 4.5, 'exmax': nan, 'unit': 'mm'}",,,,,,"{'exmin': nan, 'min': 4.7, 'max': 8.2, 'exmax': 12.0, 'unit': 'mm'}","{'exmin': nan, 'min': 1.7, 'max': 4.7, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': 3.6, 'max': 4.4, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 2.5, 'max': 3.2, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 1.1, 'max': nan, 'exmax': 1.5, 'unit': 'mm'}",,,,,,,,,,,asteraceae_lipochaeta_lobata
375,Asteraceae,Lipochaeta,lobata,nehe,"pg 331-333,337-338",Dicots,lobata,GLABROUS,OPPOSITE,MONOECIOUS,,Yellow,,,,,,,,,,Yellow,,2n,52*,52,ENDEMIC,,['PERENNIAL_HERB'],['SIMPLE'],['TEETH'],,,,,,,,,['STRIGOSE'],['STRIGOSE'],,"['MAUI', 'OAHU', 'NIIHAU']",,"{'exmin': nan, 'min': 0.5, 'max': 1.5, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 4.0, 'max': 9.7, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 1.0, 'max': 5.6, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 0.2, 'max': 0.5, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,"{'exmin': 6.0, 'min': 7.5, 'max': 14.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 2.1, 'max': 4.5, 'exmax': nan, 'unit': 'mm'}",,,,,,"{'exmin': nan, 'min': 4.7, 'max': 8.2, 'exmax': 12.0, 'unit': 'mm'}","{'exmin': nan, 'min': 1.7, 'max': 4.7, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': 3.6, 'max': 4.4, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 2.5, 'max': 3.2, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 1.1, 'max': nan, 'exmax': 1.5, 'unit': 'mm'}",,,,,,,,,,,asteraceae_lipochaeta_lobata
376,Asteraceae,Lipochaeta,rockii,nehe,"pg 331-333,340-341",Dicots,,GLABROUS,OPPOSITE,MONOECIOUS,,Yellow,,,,,,,,,,Yellow,ACHENE,2n,52*,52,ENDEMIC,ENDEMIC,['PERENNIAL_HERB'],['SIMPLE'],['LOBED'],['DELTOID'],,,,,,,,['HISPID'],['HISPID'],,"['HAWAII', 'MAUI', 'KAHOOLAWE', 'MOLOKAI']",,"{'exmin': nan, 'min': 0.5, 'max': 1.0, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 4.0, 'max': 7.3, 'exmax': 10.0, 'unit': 'cm'}","{'exmin': nan, 'min': 2.5, 'max': 5.0, 'exmax': 7.5, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 0.9, 'max': 2.5, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,"{'exmin': 5.0, 'min': 7.0, 'max': 10.0, 'exmax': 11.5, 'unit': 'mm'}","{'exmin': nan, 'min': 2.3, 'max': 4.3, 'exmax': nan, 'unit': 'mm'}",,,,,,"{'exmin': 2.5, 'min': 3.0, 'max': 5.3, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 1.5, 'max': 2.5, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': 2.8, 'max': 3.5, 'exmax': 4.0, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 2.2, 'max': 3.1, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 1.1, 'max': nan, 'exmax': 2.0, 'unit': 'mm'}",,,,,,,,,,,asteraceae_lipochaeta_rockii
377,Asteraceae,Lipochaeta,succulenta,nehe,"pg 331-333,341,343",Dicots,,GLABROUS,OPPOSITE,MONOECIOUS,,Yellow,,,,,,,,,,Yellow,ACHENE,2n,52*,52,ENDEMIC,ENDEMIC,['PERENNIAL_HERB'],['SIMPLE'],"['TEETH', 'NO TEETH']","['LINEAR', 'ELLIPTIC']",,,,,,,"['GLABROUS', 'STRIGOSE']",,,,"['HAWAII', 'MAUI', 'KAHOOLAWE', 'MOLOKAI', 'OAHU', 'KAUAI', 'NIIHAU']",,"{'exmin': nan, 'min': 0.5, 'max': 1.5, 'exmax': 4.0, 'unit': 'm'}","{'exmin': nan, 'min': 6.0, 'max': 12.5, 'exmax': 16.0, 'unit': 'cm'}","{'exmin': 1.0, 'min': 2.0, 'max': 4.0, 'exmax': 6.5, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 0.2, 'max': 1.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,"{'exmin': 3.8, 'min': 4.5, 'max': 6.0, 'exmax': 7.0, 'unit': 'mm'}","{'exmin': 1.3, 'min': 2.3, 'max': 3.3, 'exmax': nan, 'unit': 'mm'}",,,,,,"{'exmin': nan, 'min': 3.2, 'max': 5.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 1.5, 'max': 3.8, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': 3.1, 'max': 3.7, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 2.3, 'max': 2.7, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 1.2, 'max': nan, 'exmax': 1.7, 'unit': 'mm'}",,,,,,,,,,,asteraceae_lipochaeta_succulenta
378,Asteraceae,Logfia,gallica,no common name,,Dicots,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asteraceae_logfia_gallica
379,Asteraceae,Madia,sativa,"chile, coast tarweed",pg 344-345,Dicots,sativa,HIRSUTE,ALTERNATE,MONOECIOUS,,Yellow,,,,,,,,,,,ACHENE,2n,32*,32,PC,NATURALIZED,['ANNUAL_HERB'],['SIMPLE'],,"['LINEAR', 'OBLANCEOLATE']",,,,,,,,,,,['MAUI'],,"{'exmin': nan, 'min': 0.5, 'max': 1.0, 'exmax': 2.0, 'unit': 'm'}","{'exmin': nan, 'min': 6.0, 'max': 18.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 0.5, 'max': 1.2, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 4.0, 'max': 5.0, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': nan, 'min': 7.0, 'max': 12.0, 'exmax': nan, 'unit': 'mm'}",,,,"{'exmin': nan, 'min': 7.0, 'max': 12.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': 4.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': 5.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,asteraceae_madia_sativa
380,Asteraceae,Montanoa,hibiscifolia,tree daisy,pg 345,Dicots,,GLABROUS,OPPOSITE,MONOECIOUS,,White,,,,,,,,,,Yellow,ACHENE,2n,38,38,PC,NATURALIZED,['SHRUB'],['SIMPLE'],['TEETH'],['DELTOID'],,,,,,,,['TOMENTOSE'],['TOMENTOSE'],,"['HAWAII', 'MAUI', 'KAHOOLAWE', 'LANAI', 'OAHU', 'KAUAI']",,"{'exmin': nan, 'min': 2.0, 'max': 4.0, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 6.0, 'max': 50.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 2.0, 'max': 36.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 2.0, 'max': 20.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 10.0, 'max': 15.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': 3.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': 3.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,asteraceae_montanoa_hibiscifolia
381,Asteraceae,Osteospermum,calendulaceum,no common name,pg 345-346,Dicots,,PUBERULENT,ALTERNATE,MONOECIOUS,['AXILLARY'],Yellow,,,,,,,DISK,,,Yellow,,,,,PC,NATURALIZED,['ANNUAL_HERB'],['SIMPLE'],['TEETH'],"['LANCEOLATE', 'LINEAR', 'ELLIPTIC', 'OBLANCEOLATE']",,,,,,,['PUBERULENT'],,,['PUBERULENT'],['HAWAII'],,,"{'exmin': nan, 'min': 1.0, 'max': 4.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 0.2, 'max': 0.4, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': 1.5, 'exmax': nan, 'unit': 'mm'}",,,,,,,"{'exmin': nan, 'min': nan, 'max': 3.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': 1.7, 'max': 1.8, 'exmax': nan, 'unit': 'mm'}",,,,"{'exmin': nan, 'min': 0.4, 'max': 0.5, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,asteraceae_osteospermum_calendulaceum
382,Asteraceae,Palafoxia,callosa,no common name,pg 346,Dicots,,STRIGOSE,ALTERNATE,MONOECIOUS,,Pink to rose,,,,,,,,,,"Lavender, pink or white",ACHENE,2n,20,20,PC,NATURALIZED,['ANNUAL_HERB'],['SIMPLE'],,['LINEAR'],,,,,,,['STRIGOSE'],,,,"['MAUI', 'MOLOKAI']",,"{'exmin': nan, 'min': 0.2, 'max': 0.6, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 2.0, 'max': 7.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 0.1, 'max': 0.6, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 3.0, 'max': 6.0, 'exmax': nan, 'unit': 'mm'}",,,,"{'exmin': nan, 'min': 3.0, 'max': 5.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': 10.0, 'max': 40.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,"{'exmin': None, 'min': 0.3, 'max': '1', 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': 5.0, 'max': 6.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 3.0, 'max': 5.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,asteraceae_palafoxia_callosa
383,Asteraceae,Parthenium,hysterophorus,"false ragweed, Santa Maria",pg 347,Dicots,,HIRSUTE,ALTERNATE,MONOECIOUS,,White,,,,,,,DISK,,,Cream,ACHENE,2n,"18, 34-36",29.3333333,PC,NATURALIZED,['ANNUAL_HERB'],['SIMPLE'],,,,,,,,,,,,,"['HAWAII', 'MAUI', 'MOLOKAI', 'OAHU', 'KAUAI']",,"{'exmin': nan, 'min': 0.3, 'max': 1.0, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 3.0, 'max': 20.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 2.0, 'max': 10.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': 0.6, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': 1.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 2.0, 'max': 2.5, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,asteraceae_parthenium_hysterophorus
384,Asteraceae,Pectis,linifolia,no common name,"pg 347,349",Dicots,linifolia,GLABROUS,OPPOSITE,MONOECIOUS,,"Yellow, white or purple",,,,,,,BILABIATE,,,"Yellow, drying white to purplish red",ACHENE,2n,24,24,PC,NATURALIZED,['ANNUAL_HERB'],['SIMPLE'],,"['LINEAR', 'ELLIPTIC']",,,,,,,['GLABROUS'],,,,['HAWAII'],,"{'exmin': nan, 'min': 0.1, 'max': 1.0, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 1.0, 'max': 7.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 0.1, 'max': 0.3, 'exmax': 0.8, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 2.0, 'max': 4.0, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': nan, 'min': 4.5, 'max': 7.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,"{'exmin': nan, 'min': 10.0, 'max': 30.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,"{'exmin': None, 'min': 1.5, 'max': '2.5', 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': 2.0, 'max': 4.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 3.5, 'max': 5.5, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,asteraceae_pectis_linifolia
385,Asteraceae,Petasites,japonicus,fuki,pg 349,Dicots,japonicus,,EQUITANT,MONOECIOUS,,,,,,,,,DISK,,,Purple to white,ACHENE,2n,"60, 87",73.5,PC,NATURALIZED,,['SIMPLE'],['TEETH'],"['ORBICULAR', 'ROTUND']",,,,,,,,['PUBERULENT'],,['TOMENTOSE'],['HAWAII'],,"{'exmin': nan, 'min': 0.05, 'max': 0.45, 'exmax': nan, 'unit': 'm'}",,"{'exmin': nan, 'min': 15.0, 'max': 30.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 5.0, 'max': 6.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': None, 'min': nan, 'max': '12', 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': 3.5, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,asteraceae_petasites_japonicus
386,Asteraceae,Picris,hieracioides,hawkweed,pg 349-350,Dicots,,HIRSUTE or HISPID,ALTERNATE,MONOECIOUS,,"Yellow, outer ones often with a reddish stripe on lower surface",,,,,,,,,,,ACHENE,2n,"10, 20",15,PC,NATURALIZED,"['BIENNIAL_HERB', 'PERENNIAL_HERB']",['SIMPLE'],,"['LINEAR', 'OBLANCEOLATE', 'OBLONG']",,,,,,,"['HIRSUTE', 'HISPID']",,,,"['HAWAII', 'MAUI', 'MOLOKAI', 'LANAI']",,,"{'exmin': nan, 'min': 7.0, 'max': 30.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 0.5, 'max': 5.0, 'exmax': nan, 'unit': 'cm'}",,"{'exmin': nan, 'min': 0.5, 'max': 5.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 8.0, 'max': 15.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 3.5, 'max': 6.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,asteraceae_picris_hieracioides
